,NameRaw,AcademicRank,HD,HDSchool,HDYear,NoPPubGrad,FirstPPubYearRel,TotalPPub,TotalYearPhD,TotalPPubYearEnd,YearAvgPPubStartGrad,YearAvgPPubEndPhD,TotalWorkingPaper,TotalWorkInProgress,TotalOtherPub,TotalBook,Notes
0,Amartya Lahiri,Professor,PhD,Maryland at College Park,1995,0,1,36,5,2023,1.090909091,1.285714286,9,,4,,
1,Brian R Copeland,Professor,PhD,Stanford,1987,0,2,31,7,2022,0.738095238,0.885714286,0,,5,2,
2,Claudio Ferraz,Professor,PhD,Berkeley,2006,0,2,6,9,2023,0.230769231,0.352941176,7,9,,,
3,David Green,Professor,PhD,Stanford,1990,1,0,54,6,2023,1.384615385,1.636363636,4,,,4,
4,Erik Snowberg,Canada Excellence Research Chair,,,,,,,,,,#DIV/0!,,,,,
5,Felipe Valencia Caicedo,Assistant Professor,PhD,Universitat Pompeu Fabra,2015,0,7,4,4,2022,0.363636364,0.571428571,10,,,,
6,Florian Hoffmann,Associate Professor,PhD,Toronto,2010,2,-1,8,,2021,,0.727272727,2,8,,,
7,Giovanni Gallipoli,Professor,PhD,University College London,2007,0,5,17,,2024,,1,12,,,,
8,Gorkem Bostanci,Assistant Professor,PhD,Penn,2021,1,-1,2,6,2023,0.25,1,1,3,,,
9,Heather Sarsons,Associate Professor,PhD,Harvard,2018,1,-3,4,4,2022,0.5,1,3,,3,,
10,Henry Siu,Professor,PhD,Northwestern,2002,0,2,15,,2020,,0.833333333,,,6,,
11,Hiro Kasahara,Professor,PhD,Wisconsin,2002,0,6,22,,2024,,1,,7,,,
12,Jamie McCasland,Assistant Professor,PhD,Berkeley,2015,0,6,5,6,2023,0.357142857,0.625,4,5,,,
13,Jesse Perla,Associate Professor,PhD,NYU,2013,0,1,5,,2021,,0.625,5,4,,2,online textbooks
14,Katherine Wagner,Assistant Professor,PhD,Yale,2020,1,-4,5,5,2023,0.625,1.666666667,2,,,,
15,Kevin Milligan,"Professor | Director, Vancouver School of Economics",PhD,Toronto,2001,0,1,38,5,2021,1.52,1.9,11,,42,,
16,Kevin Song,Professor,PhD,Yale,2005,0,1,25,3,2022,1.25,1.470588235,6,,,,
17,Li Hao,Professor,PhD,Chicago,1995,0,3,20,7,2012,0.833333333,1.176470588,7,9,1,,
18,Marit Rehavi,Associate Professor,PhD,Berkeley,2008,1,-4,9,5,2021,0.5,0.692307692,,4,,,interesting paper
19,Matt Lowe,Assistant Professor,PhD,MIT,2018,1,0,3,6,2024,0.25,0.5,8,3,,,
20,Mauricio Drelichman,Professor | Director of Undergraduate Studies (Faculty and Academic),PhD,Northwestern,2003,0,2,12,5,2021,0.52173913,0.666666667,,4,1,1,
21,Michael Devereux,Professor (on leave),PhD,Queens,1985,0,2,135,5,2024,3.068181818,3.461538462,2,3,,,
22,Michael Peters,Professor,PhD,Queens,1980,0,1,38,3,2013,1.055555556,1.151515152,3,,2,,
23,Michal Szkup,Associate Professor,PhD,NYU,2014,0,1,7,6,2022,0.5,0.875,4,4,,,
24,Munir Squires,Assistant Professor,PhD,LSE,2017,0,4,7,7,2024,0.5,1,,,,,
25,Nathan Nunn,Professor,PhD,Toronto,2005,0,2,37,5,2024,1.541666667,1.947368421,8,,,1,
26,Nicole Fortin,Professor,PhD,UBC,1988,0,2,31,7,2023,0.738095238,0.885714286,11,,,,
27,Patrick Baylis,Assistant Professor,PhD,Berkeley,2016,0,1,10,,2022,,1.666666667,3,,,,
28,Patrick Francois,Professor (on leave),PhD,UBC,1995,5,-5,38,,2022,,1.407407407,5,,,1,
29,Paul Beaudry,Professor,PhD,Princeton,1989,0,2,66,5,2022,,2,8,,,,
30,Paul Schrimpf,Associate Professor,PhD,MIT,2011,1,-1,8,6,2021,,0.8,3,,,,
31,Philip Solimine,Postdoctoral Fellow,,,,,,,,,,,,,,,
32,Raffaele Saggio,Assistant Professor,PhD,Berkeley,2018,0,2,6,6,2023,,1.2,,,,,
33,Reka Juhasz,Assistant Professor,PhD,LSE,2015,0,3,5,5,2024,,0.555555556,4,,,,best paper 2015; published 2018
34,Sam Hwang,Assistant Professor,PhD,Chicago,2015,0,4,6,6,2023,,0.75,1,2,,,
35,Sam Norris,Assistant Professor,PhD,Northwestern,2018,3,-4,7,6,2024,,1.166666667,6,,,,
36,Sergei Severinov,Associate Professor,PhD,Stanford,1998,1,-1,12,5,2013,,0.8,3,6,,,
37,Siwan Anderson,Professor,PhD,UBC,1999,1,-1,21,,2023,,0.875,,,,,
38,Terry Moon,Assistant Professor,PhD,Princeton,2019,0,3,2,4,2024,,0.4,5,,,,
39,Thomas Lemieux,Professor,PhD,Princeton,1989,0,4,54,4,2023,,1.588235294,3,,6,,
40,Torsten Jaccard,Assistant Professor,PhD,Toronto,2022,1,-4,1,5,2024,,0.5,3,,,,
41,Vadim Marmer,Professor | Graduate Program Director,PhD,Yale,2005,0,1,18,3,2023,,1,,,4,,
42,Victor Couture,Associate Professor,PhD,Toronto,2013,0,2,8,6,2023,,0.8,3,5,,,
43,Viktoriya Hnatkovska,Associate Professor,PhD,Georgetown,2006,0,1,15,4,2020,,1.071428571,7,1,,,
44,Vitor Farinha Luz,Associate Professor,PhD,Yale,2014,1,-1,7,2,2023,,0.777777778,,5,,,
45,Wei Li,Associate Professor,PhD,MIT,2003,0,4,9,5,2021,,0.5,2,,,,
46,Clive Chapple,Associate Professor of Teaching,PhD,UBC,1998,,,,,,,,,,,,
47,Jonathan Graves,Assistant Professor of Teaching | Director of Undergraduate Studies (Curriculum and Students),PhD,UBC,,,,,,,,,,,,,
48,Marina Adshade,Assistant Professor of Teaching,PhD,Queens,,,,2,,,,,,,,,
